,state_cd,f1,soc_cat,f_num_ppl,f_total_wages,m_num_ppl,m_total_wages,f_avg_wage,m_avg_wage,wage_diff,pct_wage_diff,perc_women
79,MT,30,15,2350,109248190.9,5152,338767045.9,46488.591872340425,65754.47319487577,19265.881322535344,0.2929972728309643,0.3132498000533191
91,NH,33,15,5593,405398262.49999994,18334,1774966228.9,72483.15081351688,96812.81929202574,24329.66847850886,0.2513062697319139,0.233752664354077
142,WA,53,15,30216,2541498550.7,108501,11671192653.600002,84111.01901972464,107567.60447922141,23456.585459496768,0.21806365934297461,0.21782477994766322
49,KS,20,15,9087,525821657.90000004,26718,1974100464.1999998,57865.26443270607,73886.53582603487,16021.271393328803,0.21683614225805267,0.2537913699204022
40,ID,16,15,3185,177313470.4,11775,835209243.3,55671.419277864996,70930.72129936305,15259.302021498057,0.21512966091372715,0.21290106951871657
133,UT,49,15,7556,464139804.4000001,39329,3029794754.0000005,61426.65489677079,77037.16733199422,15610.512435223427,0.20263611677139434,0.16116028580569478
4,AL,01,15,11876,759339574.1,30594,2447380166.0,63939.0008504547,79995.42936523502,16056.428514780317,0.20071682397592372,0.27963268189310103
109,OK,40,15,7701,449024398.90000004,21725,1578922997.5,58307.28462537333,72677.69838895282,14370.41376357949,0.19772796995678976,0.26170733365051313
13,CA,06,15,133849,11465365060.7,415140,43740375346.4,85658.95195855031,105362.95068266128,19703.998724110963,0.1870106958513026,0.2438099852638213
16,CO,08,15,24095,1767539101.6000001,80103,7220185466.1,73357.09074911808,90136.26788135276,16779.177132234676,0.18615344884615445,0.23124244227336418
121,SC,45,15,11784,715124211.5999999,27332,2029521402.5000002,60686.03289205702,74254.40518439925,13568.372292342232,0.18272817967698068,0.30125779732078944
19,CT,09,15,14420,1149084245.2,38942,3768199897.1000004,79686.84085991679,96764.41623696781,17077.57537705102,0.17648610967930084,0.27022975150856415
76,MS,28,15,4696,263420273.60000002,8911,606887340.3000001,56094.60681431006,68105.41356750084,12010.806753190787,0.17635612389735508,0.3451164841625634
88,NE,31,15,5872,356204415.8,17840,1313496701.6999996,60661.51495231608,73626.49673206276,12964.981779746682,0.17609124914537336,0.247638326585695
103,NY,36,15,54852,4238661969.1000004,161680,15129088282.2,77274.51996463211,93574.27190870857,16299.751944076459,0.1741905292084833,0.2533205253726932
100,NV,32,15,5857,352059873.99999994,16282,1180142986.3,60109.249445108406,72481.45106866478,12372.201623556379,0.17069472866700283,0.2645557613261665
73,MO,29,15,19055,1216295930.0,50777,3907729244.3999996,63830.80188926791,76958.64750576047,13127.84561649256,0.17058311238525756,0.27286917172642916
10,AZ,04,15,19099,1260377203.5,59908,4755440725.099999,65991.79032933661,79379.05997696467,13387.269647628054,0.16864988891923086,0.24173807384155835
130,TX,48,15,79506,5592819803.6,235481,19919562492.9,70344.62560813021,84590.95422942829,14246.328621298075,0.16841432693452144,0.2524104169378419
82,NC,37,15,33128,2289863063.2000003,86701,7188283830.0,69121.68145375514,82908.89182362372,13787.210369868582,0.16629350684361832,0.27646062305451935
31,GA,13,15,34101,2372102651.7999997,91898,7660086064.299999,69561.0877041729,83354.21950749743,13793.131803324533,0.16547610768623283,0.27064500511908823
112,OR,41,15,11850,823753614.6,37837,3149776575.2000003,69515.07296202531,83245.93850463832,13730.865542613014,0.16494336888096892,0.23849296596695313
115,PA,42,15,40498,2807087864.1,110951,9110113810.599998,69314.23438441404,82109.3438599021,12795.109475488061,0.1558301269258653,0.26740354838922675
136,VA,51,15,57625,4830096615.2,142889,14180994575.4,83819.46403817787,99244.83043061398,15425.366392436103,0.1554274043847613,0.28738641690854505
58,MA,25,15,33849,2867681920.1000004,99080,9933286644.4,84719.84165263377,100255.21441663303,15535.372763999258,0.15495825184153048,0.25463969487470756
28,FL,12,15,47049,2961875044.9,136794,10169285927.4,62952.986139981724,74340.14596692836,11387.159826946641,0.15317645235741717,0.255919453011537
145,WI,55,15,20977,1338507187.2,49314,3698936705.3999996,63808.32279162893,75007.84169607007,11199.518904441138,0.1493113073406553,0.29843080906517194
43,IL,17,15,45449,3400560392.0,130519,11474883493.0,74821.45684173469,87917.34148284924,13095.88464111455,0.14895678622936148,0.25827991452991456
52,KY,21,15,8713,510039928.9999999,24713,1699767795.0,58537.80890623205,68780.30975599887,10242.500849766817,0.14891617798905724,0.26066535032609345
94,NJ,34,15,40123,3500381302.8,120621,12356793154.800001,87241.26567804003,102443.13307633,15201.867398289978,0.1483932299001742,0.24960807246304684
124,SD,46,15,2347,119527678.59999998,4662,277804734.59999996,50927.85624201107,59589.17516087515,8661.318918864083,0.14535054219966617,0.3348551861891853
34,HI,15,15,3342,217475049.39999998,10227,777160048.1,65073.32417713943,75991.0089077931,10917.684730653673,0.14367074325728596,0.24629670572628787
127,TN,47,15,14134,873712916.0999999,41242,2969516867.9,61816.39423376255,72002.2517797391,10185.857545976556,0.14146581939042607,0.25523692574400464
70,MN,27,15,27155,1956746071.5,67520,5618749774.0,72058.40808322592,83216.08077606634,11157.672692840424,0.13408072801296197,0.2868233430155796
37,IA,19,15,10074,653555850.1,24792,1847976998.7999997,64875.506263649,74539.24648273636,9663.740219087362,0.12964633632734038,0.2889347788676648
67,MI,26,15,27735,1825410240.5,72733,5465987525.6,65816.12549125653,75151.4103034386,9335.284812182072,0.12421968895179775,0.2760580483337978
64,ME,23,15,2877,182593604.70000002,8162,587188677.7,63466.668300312835,71941.76399166872,8475.095691355884,0.11780494696150834,0.26062143310082436
85,ND,38,15,1865,107266874.5,4473,290472692.9,57515.750402144775,64939.12204337133,7423.371641226557,0.11431278107315124,0.29425686336383716
139,VT,50,15,1926,139707115.89999998,5194,425053408.3,72537.44335410175,81835.46559491722,9298.022240815466,0.11361849258413657,0.2705056179775281
46,IN,18,15,15372,984559247.4999999,38346,2767672705.2000003,64048.87116185271,72176.30796432483,8127.436802472126,0.1126053275887891,0.2861610633307271
61,MD,24,15,48520,4209870537.4999995,101314,9891422249.800001,86765.67472176421,97631.34660362834,10865.671881864124,0.11129286094943933,0.32382503303656046
55,LA,22,15,7010,399711134.49999994,17201,1098836535.9,57020.133309557765,63882.13103307948,6861.997723521716,0.10741654375882408,0.2895378133906076
118,RI,44,15,3056,213282557.8,9586,748550939.4000001,69791.41289267017,78087.93442520344,8296.521532533268,0.1062458828448087,0.24173390286347096
25,DE,10,15,3628,278665909.4,9803,839697789.8999999,76809.78759647188,85657.2263490768,8847.43875260491,0.1032888774211432,0.2701213610304519
1,AK,02,15,998,62232487.5,5199,360091077.9,62357.20190380762,69261.60375072129,6904.401846913672,0.09968585006727872,0.16104566725835082
7,AR,05,15,6015,368054174.59999996,15886,1074627171.4999998,61189.388960931,67646.17723152459,6456.788270593592,0.09544941835360045,0.27464499337929776
106,OH,39,15,33518,2267903330.5,93036,6952472114.2,67662.25104421505,74728.83737692935,7066.5863327143015,0.09456304394340721,0.2648513677955655
22,DC,11,15,7463,610138970.3,11696,1041481086.0000001,81755.1883022913,89045.92048563613,7290.732183344837,0.0818760943071041,0.3895297249334516
97,NM,35,15,4583,300135645.1,11460,808079671.0,65488.90357844207,70513.06029668413,5024.156718242055,0.0712514347994951,0.28566976251324566
148,WV,54,15,3684,256727121.6,8708,642805127.8,69687.05798045603,73817.76846577859,4130.710485322561,0.055958214006936964,0.2972885732730794
151,WY,56,15,715,44419924.2,2045,127751260.1,62125.768111888116,62470.0538386308,344.285726742688,0.005511212262310961,0.25905797101449274
