avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
39831.1,9329.49,04000US01,132,141.318,2,132041,2016
80978.4,17864.7,04000US01,450,197.081,1,132051,2016
69466.3,29717.4,04000US01,478,191.422,2,132051,2016
150831.0,28201.8,04000US01,1752,410.18,1,132052,2016
83038.9,31969.3,04000US01,726,238.484,2,132052,2016
87099.0,22751.2,04000US01,181,110.038,1,132053,2016
48363.3,8609.0,04000US01,619,282.593,2,132053,2016
69882.3,22280.4,04000US01,81,55.5586,1,132061,2016
57007.3,27562.4,04000US01,77,58.1037,2,132061,2016
84548.3,18765.2,04000US01,1419,338.895,1,132070,2016
45970.8,3982.5,04000US01,3123,546.169,2,132070,2016
79698.9,17262.8,04000US01,145,94.1279,1,132081,2016
51584.5,8693.62,04000US01,435,163.413,2,132081,2016
42514.9,9063.58,04000US01,665,248.01,1,132082,2016
36836.2,9856.01,04000US01,1048,373.692,2,132082,2016
76118.4,36255.3,04000US01,419,237.32,1,132099,2016
40798.3,5664.71,04000US01,466,232.201,2,132099,2016
75996.2,20928.8,04000US01,150,132.386,1,151111,2016
72671.9,0.0,04000US01,26,42.3951,2,151111,2016
85756.1,8148.08,04000US01,2533,481.812,1,151121,2016
64745.1,6019.55,04000US01,1974,422.711,2,151121,2016
83276.3,8077.18,04000US01,789,267.395,1,151122,2016
82604.3,7462.91,04000US01,310,183.346,2,151122,2016
77352.3,6340.96,04000US01,4056,624.37,1,151131,2016
72676.8,7242.15,04000US01,1387,407.804,2,151131,2016
54702.3,10352.1,04000US01,700,241.106,1,151134,2016
41474.8,6963.52,04000US01,547,231.499,2,151134,2016
96814.6,4359.21,04000US01,8187,852.397,1,15113X,2016
76029.4,6172.45,04000US01,2186,418.919,2,15113X,2016
84319.8,13997.8,04000US01,603,242.694,1,151141,2016
61541.8,12704.8,04000US01,693,235.424,2,151141,2016
76789.6,3955.62,04000US01,2368,463.256,1,151142,2016
59773.3,8498.82,04000US01,633,240.074,2,151142,2016
75865.6,12217.1,04000US01,1194,366.446,1,151143,2016
112651.0,45748.0,04000US01,53,61.925,2,151143,2016
55028.9,3857.99,04000US01,4717,648.543,1,151150,2016
47561.6,8434.68,04000US01,1759,403.276,2,151150,2016
68670.4,6067.27,04000US01,3962,587.816,1,151199,2016
58168.1,7202.32,04000US01,1444,346.37,2,151199,2016
70974.1,0.0,04000US01,13,21.6897,1,152011,2016
62972.2,11640.9,04000US01,55,57.4444,2,152011,2016
