,state_cd,f1,soc_cat,f_num_ppl,f_total_wages,m_num_ppl,m_total_wages,f_avg_wage,m_avg_wage,wage_diff,pct_wage_diff,perc_women
56,LA,22,41,116490,3333562299.4,88267,5489163967.9,28616.725035625375,62188.17868399288,33571.453648367504,0.5398365792148329,0.5689182787401652
20,CT,09,41,85686,4043713610.4,92937,8774727312.2,47192.23222463413,94415.86571763668,47223.633493002555,0.5001662923287826,0.47970306175576494
149,WV,54,41,38346,977064684.5000002,33934,1726003789.8000004,25480.224391070784,50863.55247834032,25383.32808726954,0.49904748784660186,0.5305201992252352
152,WY,56,41,12959,364847943.2999999,11550,648218715.1,28154.019854927068,56122.83247619048,27968.812621263412,0.4983499831931841,0.5287445428210046
5,AL,01,41,115107,3448079195.5,90565,5243885490.0,29955.425782098395,57901.89907801027,27946.473295911874,0.4826521019329617,0.5596629584970244
77,MS,28,41,70772,1953065692.59,52196,2779555652.5000005,27596.58752882496,53252.27321059086,25655.6856817659,0.4817763474679889,0.5755318456834299
32,GA,13,41,255931,9258202700.0,233135,16224372420.900003,36174.60448323962,69592.17801231048,33417.57352907086,0.4801915169713394,0.5233056479084622
86,ND,38,41,17075,585958643.4,18763,1232494744.6999998,34316.75803221083,65687.50971060064,31370.75167838981,0.47757559719648196,0.4764495786595234
38,IA,19,41,71334,2296724773.000001,74850,4606592141.900001,32196.775352566812,61544.31719305278,29347.54184048597,0.4768521803309366,0.4879740600886554
140,VT,50,41,15842,503066780.6999999,13179,796705813.6000001,31755.256956192396,60452.67574171031,28697.41878551791,0.47470882691992505,0.545880569242962
83,NC,37,41,240023,8070457423.700002,223968,14203962503.699997,33623.683662399024,63419.606835351464,29795.92317295244,0.4698219471828,0.517300982131119
134,UT,49,41,65737,2224934261.3,79325,5058062979.900001,33845.996338439545,63763.79426284274,29917.797924403196,0.46919726578813836,0.45316485364878467
131,TX,48,41,642286,22697064854.400005,634292,41794083964.299995,35337.94112653865,65890.92084450064,30552.979717961985,0.4636902827639263,0.5031310268546066
122,SC,45,41,126912,3934591817.6400003,107300,6168313305.1,31002.519995272316,57486.61048555452,26484.090490282204,0.4607001572468295,0.5418680511673185
8,AR,05,41,67912,2174817473.8999996,61137,3577988605.6000004,32024.052802155726,58524.11151348611,26500.058711330385,0.45280582696627175,0.5262497190989469
107,OH,39,41,263277,9122575063.599998,255053,16104451624.000002,34650.10260524086,63141.588705092676,28491.486099851812,0.4512316950547973,0.5079331699882315
128,TN,47,41,156008,5057719309.599999,139615,8237721150.299997,32419.61508127788,59003.123950148605,26583.508868870726,0.4505440913828728,0.5277261918051032
50,KS,20,41,63305,2361217931.000001,63502,4302719783.1,37299.0748124161,67757.23257692672,30458.157764510623,0.44951891637443436,0.4992232290015535
44,IL,17,41,311111,13030255561.2,312178,23704377835.2,41882.97926206402,75932.24966269244,34049.27040062842,0.4484164574588884,0.49914405676981305
95,NJ,34,41,214020,10227660015.599998,239284,20656824486.700005,47788.337611438175,86327.6461723308,38539.30856089263,0.4464306658374407,0.4721334909905935
41,ID,16,41,32283,983346937.4000001,35247,1932155187.5999997,30460.2093175975,54817.57844922971,24357.36913163221,0.4443350075047775,0.4780541981341626
2,AK,02,41,14648,505875790.40000004,13037,802314855.3,34535.485417804484,61541.371120656586,27005.8857028521,0.43882489471846486,0.5290951778941665
110,OK,40,41,87576,2740348352.2000003,79126,4411568280.6,31291.088336987305,55753.712820059154,24462.62448307185,0.4387622500051808,0.5253446269390889
53,KY,21,41,97035,3199732641.6,84518,4961539615.3,32975.036240531765,58703.94017014127,25728.903929609507,0.43828240242545186,0.5344720274520388
80,MT,30,41,20888,623545301.9,22277,1183068868.0400002,29851.84325450019,53107.18983884725,23255.34658434706,0.43789450458431267,0.4839105756979034
116,PA,42,41,293595,11014933910.3,277327,18479058797.6,37517.44379263952,66632.7432871664,29115.299494526887,0.4369518356620708,0.5142471300808167
47,IN,18,41,151801,5234351668.999999,142983,8731706658.8,34481.66790073846,61068.14557534811,26586.477674609654,0.4353575407297457,0.5149567140686062
125,SD,46,41,19179,626452515.1,23809,1376872258.3999994,32663.460821732104,57829.90711075641,25166.446289024305,0.4351804722913575,0.4461477621661859
89,NE,31,41,41938,1434513986.3999999,48569,2926331081.1,34205.588878821116,60251.00539644629,26045.416517625177,0.43228185731090524,0.4633674743390014
68,MI,26,41,229417,8349654044.000001,206362,13121328741.1,36395.09732931736,63584.035535127594,27188.938205810235,0.42760636340531505,0.5264526285112407
146,WI,55,41,134171,4745244549.4,132515,8164297099.200001,35367.14006305386,61610.36183979173,26243.221776737868,0.42595467699052525,0.5031047749038194
59,MA,25,41,155806,7412386287.400001,166858,13709905428.900002,47574.45982439701,82165.10703052896,34590.64720613195,0.42098949853834644,0.48287382540351576
62,MD,24,41,132430,5342880112.400001,131139,9134946319.300001,40344.93779657178,69658.50219461793,29313.564398046154,0.42081818406240473,0.502449074056509
92,NH,33,41,35546,1479374409.6000001,36561,2613696493.8,41618.59026613403,71488.64893739231,29870.05867125828,0.4178293913124252,0.49296184836423645
71,MN,27,41,130970,5560766230.3,143538,10408840894.000004,42458.32045735665,72516.27369755747,30057.95324020082,0.4144994179591063,0.47710813528203183
137,VA,51,41,199273,7618475188.299998,183404,11828432183.999998,38231.34688743582,64493.861551547394,26262.51466411157,0.40720952401215704,0.5207341962020189
65,ME,23,41,32150,1106069526.9999998,32033,1850573443.9999998,34403.40674961119,57770.84394218461,23367.437192573423,0.4044849546591162,0.500911456304629
104,NY,36,41,446298,20728874852.600002,476886,36882230924.6,46446.26427319863,77339.72254291382,30893.458269715193,0.39945137186874713,0.4834334217230801
74,MO,29,41,144479,5124357370.900001,140478,8269215668.000001,35467.83526256411,58864.84480132121,23397.0095387571,0.3974699944886622,0.5070203574574409
29,FL,12,41,543479,19621653208.400005,522096,30670417668.500004,36103.7928022978,58744.78576449543,22640.992962197626,0.3854128101337216,0.5100335499612885
143,WA,53,41,150931,6430760856.4,156369,10836736276.300001,42607.2897973246,69302.33151263998,26695.041715315383,0.3851968776901323,0.4911519687601692
23,DC,11,41,11095,595545467.9399999,8609,749260551.1,53676.92365389815,87032.23964455802,33355.315990659874,0.38325241458663906,0.5630836378400325
113,OR,41,41,84239,3071902689.6000004,90566,5328306221.699999,36466.51419888651,58833.40571185653,22366.891512970025,0.38017332572101104,0.4819026915706072
17,CO,08,41,133159,5750783839.1,144527,9945312839.4,43187.346248469876,68812.83662845005,25625.490379980176,0.3723940420933839,0.479530836988541
26,DE,10,41,22277,805084835.4999999,19937,1147801180.3799999,36139.733155272246,57571.40895721522,21431.675801942976,0.37226248567010306,0.5277159236272326
119,RI,44,41,25362,1081507567.8,25355,1698807205.0,42642.83446889046,67000.87576414908,24358.04129525862,0.36354810317706554,0.5000690103909932
14,CA,06,41,856946,37557962376.69999,871008,59148732825.6,43827.68853194949,67908.36918329108,24080.680651341594,0.35460549179653494,0.4959310259416628
11,AZ,04,41,152901,5789849241.5,156148,9149202965.9,37866.65385772493,58593.148589159,20726.494731434068,0.3537358075218528,0.49474678772621816
98,NM,35,41,43276,1269289016.5800002,38715,1716740689.6,29330.09096450689,44343.0373137027,15012.946349195809,0.33856378044172836,0.5278140283689673
101,NV,32,41,81542,2938938247.8,67771,3659248246.7000003,36042.018196757504,53994.30798866772,17952.289791910218,0.33248485739789513,0.5461145379169932
