avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
76721.6,5514.95,01000US,12163,1187.56,1,132041,2016
59887.8,3619.15,01000US,15547,1151.48,2,132041,2016
134667.0,5086.86,01000US,92653,2985.56,1,132051,2016
88506.7,2807.27,01000US,60410,2382.53,2,132051,2016
149059.0,2860.91,01000US,221108,4626.69,1,132052,2016
87582.3,2524.68,01000US,102961,2957.21,2,132052,2016
90181.0,3948.79,01000US,36997,1923.34,1,132053,2016
62452.4,1361.25,01000US,70133,2638.37,2,132053,2016
105254.0,7703.8,01000US,7192,795.957,1,132061,2016
78378.7,7096.6,01000US,6414,825.288,2,132061,2016
93408.1,2002.44,01000US,140470,3463.88,1,132070,2016
57823.7,942.115,01000US,174064,4106.51,2,132070,2016
70392.0,2421.83,01000US,19482,1300.93,1,132081,2016
52739.6,1604.33,01000US,37038,1656.28,2,132081,2016
84636.6,5565.87,01000US,33149,1555.09,1,132082,2016
47776.8,2191.24,01000US,54112,2066.38,2,132082,2016
135109.0,7434.67,01000US,26900,1614.93,1,132099,2016
66185.2,2850.25,01000US,33612,1705.38,2,132099,2016
108857.0,5277.71,01000US,11804,945.508,1,151111,2016
83855.2,7132.95,01000US,3806,485.911,2,151111,2016
91632.4,1033.83,01000US,305940,5007.15,1,151121,2016
73877.0,924.915,01000US,191321,4034.43,2,151121,2016
96605.1,2158.14,01000US,50875,2101.53,1,151122,2016
77598.6,3014.3,01000US,14356,1230.66,2,151122,2016
87804.2,770.544,01000US,335967,4790.86,1,151131,2016
78131.5,849.875,01000US,94741,2940.77,2,151131,2016
67580.2,1212.65,01000US,107341,3508.25,1,151134,2016
62148.4,2349.27,01000US,59055,2025.55,2,151134,2016
106195.0,541.901,01000US,883512,9820.9,1,15113X,2016
86777.0,845.01,01000US,224550,4176.27,2,15113X,2016
88898.6,1582.79,01000US,71183,2464.23,1,151141,2016
68343.6,1662.78,01000US,43265,1802.08,2,151141,2016
74987.6,699.755,01000US,171606,3458.09,1,151142,2016
68741.6,2106.58,01000US,40433,1460.24,2,151142,2016
100440.0,1374.52,01000US,92395,2698.18,1,151143,2016
92338.2,3421.18,01000US,8700,778.825,2,151143,2016
63723.6,654.066,01000US,437836,5977.44,1,151150,2016
56407.4,759.02,01000US,153254,3460.94,2,151150,2016
76682.9,694.949,01000US,386674,5185.61,1,151199,2016
70489.6,963.605,01000US,117236,3246.87,2,151199,2016
156825.0,10490.8,01000US,17530,1568.97,1,152011,2016
113253.0,8371.74,01000US,9262,742.569,2,152011,2016
90983.0,1890.35,01000US,69953,2505.52,1,152031,2016
75005.1,1168.51,01000US,65929,2400.33,2,152031,2016
98937.6,3799.23,01000US,26510,1372.42,1,1520XX,2016
84625.9,4061.64,01000US,24120,1468.69,2,1520XX,2016
93803.6,2078.96,01000US,118992,3284.69,1,171010,2016
69325.1,2957.21,01000US,40518,1930.34,2,171010,2016
62458.1,1713.86,01000US,27518,1315.83,1,171020,2016
57773.9,4267.96,01000US,7232,757.789,2,171020,2016
106514.0,1196.62,01000US,110307,2855.49,1,172011,2016
90788.2,4144.14,01000US,15062,1063.05,2,172011,2016
109344.0,2737.49,01000US,50597,2194.71,1,172041,2016
93458.8,4495.63,01000US,10161,986.269,2,172041,2016
93057.5,1131.01,01000US,269522,4626.59,1,172051,2016
77863.6,2522.07,01000US,40096,1768.81,2,172051,2016
102938.0,2647.77,01000US,45953,1992.65,1,172061,2016
87507.1,4115.77,01000US,8471,911.839,2,172061,2016
100886.0,1252.82,01000US,187648,3969.73,1,172070,2016
85816.5,2257.88,01000US,18401,1130.76,2,172070,2016
87427.2,3425.37,01000US,21342,1358.07,1,172081,2016
72968.5,3341.12,01000US,7902,827.136,2,172081,2016
87096.2,3496.59,01000US,14980,1180.23,1,1720XX,2016
77102.5,6904.33,01000US,2492,406.681,2,1720XX,2016
82563.0,975.743,01000US,149573,3118.45,1,172110,2016
75283.0,1967.4,01000US,39721,1723.6,2,172110,2016
88223.4,2805.09,01000US,11687,918.509,1,172121,2016
77196.4,7187.0,01000US,1277,292.886,2,172121,2016
86523.9,1968.84,01000US,30039,1521.62,1,172131,2016
74158.7,4567.87,01000US,4501,528.204,2,172131,2016
85501.6,900.939,01000US,223360,4754.92,1,172141,2016
77256.8,2488.06,01000US,19245,1379.22,2,172141,2016
142450.0,5539.14,01000US,35310,1800.46,1,1721XX,2016
120758.0,10709.4,01000US,5412,789.337,2,1721XX,2016
100148.0,841.06,01000US,438738,6520.06,1,1721YY,2016
85773.5,1551.29,01000US,65850,2211.91,2,1721YY,2016
57171.3,877.16,01000US,122757,3078.98,1,173010,2016
47954.2,1317.54,01000US,28610,1598.29,2,173010,2016
60506.4,525.545,01000US,323418,5017.67,1,173020,2016
48773.7,942.693,01000US,75729,2457.9,2,173020,2016
53484.6,1499.33,01000US,56193,2472.27,1,173031,2016
43376.2,2505.63,01000US,5839,776.205,2,173031,2016
73109.8,4918.04,01000US,16328,1343.89,1,191010,2016
57406.5,4360.21,01000US,8886,778.561,2,191010,2016
68994.6,1888.56,01000US,38000,1548.76,1,191020,2016
62218.9,1563.78,01000US,35156,1509.76,2,191020,2016
62732.9,2403.47,01000US,16226,1109.45,1,191030,2016
56502.5,2799.3,01000US,4515,593.058,2,191030,2016
104908.0,3315.8,01000US,66738,2093.33,1,1910XX,2016
81812.4,1943.74,01000US,70951,2403.68,2,1910XX,2016
105743.0,7024.77,01000US,8789,824.95,1,192010,2016
83600.7,8562.79,01000US,1828,324.682,2,192010,2016
82879.5,4758.44,01000US,9669,996.871,1,192021,2016
67652.5,8620.34,01000US,2256,431.79,2,192021,2016
84119.6,2371.72,01000US,51463,2237.24,1,192030,2016
69637.1,2249.21,01000US,31983,1435.57,2,192030,2016
103795.0,3988.5,01000US,48969,1999.47,1,192040,2016
75246.7,3259.8,01000US,22963,1558.63,2,192040,2016
92925.9,1865.66,01000US,123620,3345.3,1,192099,2016
72819.8,1596.16,01000US,87044,2937.51,2,192099,2016
140326.0,8728.54,01000US,15881,885.24,1,193011,2016
109377.0,8331.24,01000US,8086,889.839,2,193011,2016
88215.3,3049.1,01000US,43649,1511.54,1,193030,2016
68355.5,1108.85,01000US,107413,2993.51,2,193030,2016
81160.5,3436.37,01000US,12743,977.279,1,193051,2016
70192.6,3175.67,01000US,9537,890.211,2,193051,2016
75245.0,4218.66,01000US,20167,1222.46,1,1930XX,2016
61846.4,3294.54,01000US,23673,1234.26,2,1930XX,2016
49157.3,1942.56,01000US,20429,1446.77,1,194011,2016
45030.3,3852.11,01000US,14009,1175.03,2,194011,2016
55057.8,3525.29,01000US,11492,1015.45,1,194021,2016
49328.4,3490.4,01000US,10089,952.439,2,194021,2016
58232.2,1240.01,01000US,46701,1959.92,1,194031,2016
49250.3,1651.66,01000US,22190,1138.12,2,194031,2016
78950.2,3480.04,01000US,15274,1186.86,1,1940XX,2016
66398.1,4396.02,01000US,4696,700.098,2,1940XX,2016
51519.4,1377.16,01000US,100962,2752.41,1,1940YY,2016
42476.9,1034.58,01000US,95851,3024.59,2,1940YY,2016
48604.9,699.609,01000US,205494,4781.57,1,211010,2016
46520.0,369.307,01000US,504849,6281.17,2,211010,2016
48627.1,640.501,01000US,153571,3541.92,1,211020,2016
45944.9,286.035,01000US,652203,6926.32,2,211020,2016
52448.0,1144.34,01000US,43927,2093.78,1,211092,2016
