avg_wage_ft,avg_wage_ft_moe,geo,num_ppl,num_ppl_moe,sex,soc,year
86535.9,5467.68,04000US53,4237,580.14,1,172110,2014
82554.1,7994.77,04000US53,1016,257.114,2,172110,2014
84936.3,7954.04,04000US53,1158,308.812,1,172121,2014
73528.4,12833.5,04000US53,220,119.813,2,172121,2014
74698.0,7868.31,04000US53,608,169.061,1,172131,2014
110792.0,22492.3,04000US53,140,108.02,2,172131,2014
89644.3,4961.89,04000US53,4165,528.046,1,172141,2014
39955.0,25245.4,04000US53,406,298.15,2,172141,2014
61868.5,3528.88,04000US53,3208,486.438,1,173010,2014
53155.2,6231.48,04000US53,722,251.459,2,173010,2014
63613.5,3192.28,04000US53,8087,926.622,1,173020,2014
49639.9,5737.69,04000US53,2054,325.752,2,173020,2014
70918.5,15547.3,04000US53,1293,314.987,1,173031,2014
57856.1,13956.6,04000US53,237,130.017,2,173031,2014
62133.6,13172.4,04000US53,641,217.106,1,191010,2014
60966.6,26711.2,04000US53,187,101.26,2,191010,2014
70653.7,7963.69,04000US53,1800,350.679,1,191020,2014
73227.9,10897.2,04000US53,1623,323.942,2,191020,2014
69324.6,10098.7,04000US53,728,209.021,1,191030,2014
62655.9,9307.35,04000US53,297,154.762,2,191030,2014
103081.0,19741.0,04000US53,259,138.38,1,192010,2014
53626.0,7358.52,04000US53,127,106.562,2,192010,2014
45722.3,15994.0,04000US53,218,140.601,1,192021,2014
77973.9,19758.6,04000US53,587,249.097,1,192030,2014
66862.6,10447.0,04000US53,493,215.4,2,192030,2014
73080.2,7580.85,04000US53,1591,369.497,1,192040,2014
75313.9,8001.85,04000US53,1003,259.48,2,192040,2014
88918.5,8495.5,04000US53,3195,495.406,1,192099,2014
70794.4,5777.55,04000US53,2045,359.561,2,192099,2014
106232.0,20601.1,04000US53,287,127.335,1,193011,2014
133208.0,49924.0,04000US53,246,167.259,2,193011,2014
80204.0,10628.7,04000US53,1194,316.875,1,193030,2014
63889.8,4570.66,04000US53,2116,394.439,2,193030,2014
86607.5,13267.8,04000US53,712,225.652,1,193051,2014
