soc_name,soc,soc_cat
"Transportation attendants, except flight attendants",536061,53
"Transportation attendants, except flight attendants",536061,53
Crane & tower operators,537021,53
Crane & tower operators,537021,53
"Dredge, excavating, & loading machine operators",537030,53
"Dredge, excavating, & loading machine operators",537030,53
Industrial truck & tractor operators,537051,53
Industrial truck & tractor operators,537051,53
Cleaners of vehicles & equipment,537061,53
Cleaners of vehicles & equipment,537061,53
"Laborers & freight, stock, & material movers, hand",537062,53
"Laborers & freight, stock, & material movers, hand",537062,53
Machine feeders & offbearers,537063,53
Machine feeders & offbearers,537063,53
"Packers & packagers, hand",537064,53
"Packers & packagers, hand",537064,53
Pumping station operators,537070,53
Pumping station operators,537070,53
Refuse & recyclable material collectors,537081,53
Refuse & recyclable material collectors,537081,53
Military officer special & tactical operations leaders,551010,55
Military officer special & tactical operations leaders,551010,55
Firstline enlisted military supervisors,552010,55
Firstline enlisted military supervisors,552010,55
Military enlisted tactical operations & air/weapons specialists & crew members,553010,55
Military enlisted tactical operations & air/weapons specialists & crew members,553010,55
"Military, rank not specified",559830,55
"Military, rank not specified",559830,55
Chief executives & legislators,1110XX,11
Chief executives & legislators,1110XX,11
Advertising & promotions managers,112011,11
Advertising & promotions managers,112011,11
Marketing & sales managers,112020,11
Marketing & sales managers,112020,11
Public relations & fundraising managers,112031,11
Public relations & fundraising managers,112031,11
Administrative services managers,113011,11
Administrative services managers,113011,11
Computer & information systems managers,113021,11
Computer & information systems managers,113021,11
Financial managers,113031,11
Financial managers,113031,11
Industrial production managers,113051,11
Industrial production managers,113051,11
Purchasing managers,113061,11
Purchasing managers,113061,11
"Transportation, storage, & distribution managers",113071,11
"Transportation, storage, & distribution managers",113071,11
"Farmers, ranchers, & other agricultural managers",119013,11
"Farmers, ranchers, & other agricultural managers",119013,11
Construction managers,119021,11
Construction managers,119021,11
Education administrators,119030,11
Education administrators,119030,11
Architectural & engineering managers,119041,11
Architectural & engineering managers,119041,11
Food service managers,119051,11
Food service managers,119051,11
Gaming managers,119071,11
Gaming managers,119071,11
Lodging managers,119081,11
Lodging managers,119081,11
Medical & health services managers,119111,11
Medical & health services managers,119111,11
Natural sciences managers,119121,11
Natural sciences managers,119121,11
"Property, real estate, & community association managers",119141,11
"Property, real estate, & community association managers",119141,11
Social & community service managers,119151,11
Social & community service managers,119151,11
Miscellaneous managers,119190,11
Miscellaneous managers,119190,11
"Software developers, applications & systems software",151131,15
"Software developers, applications & systems software",151131,15
"Miscellaneous mathematical science occupations, including mathematicians & statisticians",152090,15
"Miscellaneous mathematical science occupations, including mathematicians & statisticians",152090,15
Biomedical & agricultural engineers,1720XX,17
Biomedical & agricultural engineers,1720XX,17
"Petroleum, mining & geological engineers, including mining safety engineers",1721XX,17
"Petroleum, mining & geological engineers, including mining safety engineers",1721XX,17
"Miscellaneous engineers, including nuclear engineers",1721YY,17
"Miscellaneous engineers, including nuclear engineers",1721YY,17
"Medical scientists, & life scientists, all other",1910XX,19
"Medical scientists, & life scientists, all other",1910XX,19
"Miscellaneous social scientists, including survey researchers & sociologists",1930XX,19
"Miscellaneous social scientists, including survey researchers & sociologists",1930XX,19
Chemical technicians,194031,19
Chemical technicians,194031,19
"Geological & petroleum technicians, & nuclear technicians",1940XX,19
"Geological & petroleum technicians, & nuclear technicians",1940XX,19
"Miscellaneous life, physical, & social science technicians, including social science research assistants",1940YY,19
"Miscellaneous life, physical, & social science technicians, including social science research assistants",1940YY,19
"Miscellaneous community & social service specialists, including health educators & community health workers",21109X,21
"Miscellaneous community & social service specialists, including health educators & community health workers",21109X,21
"Lawyers, & judges, magistrates, & other judicial workers",2310XX,23
"Lawyers, & judges, magistrates, & other judicial workers",2310XX,23
"Other education, training, & library workers",2590XX,25
"Other education, training, & library workers",2590XX,25
"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",2740XX,27
"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",2740XX,27
"Other therapists, including exercise physiologists",29112X,29
"Other therapists, including exercise physiologists",29112X,29
Nurse practitioners & nurse midwives,2911XX,29
Nurse practitioners & nurse midwives,2911XX,29
"Healthcare support workers, all other, including medical equipment preparers",31909X,31
"Healthcare support workers, all other, including medical equipment preparers",31909X,31
Miscellaneous law enforcement workers,3330XX,33
Miscellaneous law enforcement workers,3330XX,33
"Lifeguards & other recreational, & all other protective service workers",33909X,33
"Lifeguards & other recreational, & all other protective service workers",33909X,33
"Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpers",3590XX,35
"Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpers",3590XX,35
Janitors & building cleaners,37201X,37
Janitors & building cleaners,37201X,37
Embalmers & funeral attendants,3940XX,39
Embalmers & funeral attendants,3940XX,39
Correspondence clerks & order clerks,434XXX,43
Correspondence clerks & order clerks,434XXX,43
"Miscellaneous office & administrative support workers, including desktop publishers",439XXX,43
"Miscellaneous office & administrative support workers, including desktop publishers",439XXX,43
"Miscellaneous agricultural workers, including animal breeders",4520XX,45
"Miscellaneous agricultural workers, including animal breeders",4520XX,45
"Construction equipment operators except paving, surfacing, & tamping equipment operators",47207X,47
"Construction equipment operators except paving, surfacing, & tamping equipment operators",47207X,47
"Brickmasons, blockmasons, stonemasons, & reinforcing iron & rebar workers",472XXX,47
"Brickmasons, blockmasons, stonemasons, & reinforcing iron & rebar workers",472XXX,47
"Miscellaneous extraction workers, including roof bolters & helpers",4750XX,47
"Miscellaneous extraction workers, including roof bolters & helpers",4750XX,47
"Derrick, rotary drill, & service unit operators, & roustabouts, oil, gas, & mining",4750YY,47
"Derrick, rotary drill, & service unit operators, & roustabouts, oil, gas, & mining",4750YY,47
"Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers & sewer pipe cleaners",47XXXX,47
"Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers & sewer pipe cleaners",47XXXX,47
"Electrical & electronics repairers, transportation equipment, & industrial & utility",49209X,49
"Electrical & electronics repairers, transportation equipment, & industrial & utility",49209X,49
Industrial & refractory machinery mechanics,49904X,49
Industrial & refractory machinery mechanics,49904X,49
"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",4990XX,49
"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",4990XX,49
"Model makers, patternmakers, & molding machine setters, metal & plastic",5140XX,51
"Model makers, patternmakers, & molding machine setters, metal & plastic",5140XX,51
"Miscellaneous metal workers & plastic workers, including multiple machine tool setters",514XXX,51
"Miscellaneous metal workers & plastic workers, including multiple machine tool setters",514XXX,51
"Textile bleaching & dyeing, & cutting machine setters, operators, & tenders",51606X,51
"Textile bleaching & dyeing, & cutting machine setters, operators, & tenders",51606X,51
"Miscellaneous textile, apparel, & furnishings workers except upholsterers",51609X,51
"Miscellaneous textile, apparel, & furnishings workers except upholsterers",51609X,51
"Miscellaneous woodworkers, including model makers & patternmakers",5170XX,51
"Miscellaneous woodworkers, including model makers & patternmakers",5170XX,51
"Miscellaneous production workers, including semiconductor processors",5191XX,51
"Miscellaneous production workers, including semiconductor processors",5191XX,51
"Subway, streetcar, & other rail transportation workers",5340XX,53
"Subway, streetcar, & other rail transportation workers",5340XX,53
"Sailors & marine oilers, & ship engineers",5350XX,53
"Sailors & marine oilers, & ship engineers",5350XX,53
"Miscellaneous transportation workers, including bridge & lock tenders & traffic technicians",5360XX,53
"Miscellaneous transportation workers, including bridge & lock tenders & traffic technicians",5360XX,53
"Conveyor operators & tenders, & hoist & winch operators",5370XX,53
"Conveyor operators & tenders, & hoist & winch operators",5370XX,53
"Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",5371XX,53
"Miscellaneous material moving workers, including mine shuttle car operators, & tank car, truck, & ship loaders",5371XX,53
