soc_name,soc,soc_cat
Pharmacists,291051,29
Physicians & surgeons,291060,29
Physicians & surgeons,291060,29
Physician assistants,291071,29
Physician assistants,291071,29
Podiatrists,291081,29
Podiatrists,291081,29
Occupational therapists,291122,29
Occupational therapists,291122,29
Physical therapists,291123,29
Physical therapists,291123,29
Radiation therapists,291124,29
Radiation therapists,291124,29
Recreational therapists,291125,29
Recreational therapists,291125,29
Respiratory therapists,291126,29
Respiratory therapists,291126,29
Speechlanguage pathologists,291127,29
Speechlanguage pathologists,291127,29
Veterinarians,291131,29
Veterinarians,291131,29
Registered nurses,291141,29
Registered nurses,291141,29
Nurse anesthetists,291151,29
Nurse anesthetists,291151,29
Audiologists,291181,29
Audiologists,291181,29
"Health diagnosing & treating practitioners, all other",291199,29
"Health diagnosing & treating practitioners, all other",291199,29
Clinical laboratory technologists & technicians,292010,29
Clinical laboratory technologists & technicians,292010,29
Dental hygienists,292021,29
Dental hygienists,292021,29
Diagnostic related technologists & technicians,292030,29
Diagnostic related technologists & technicians,292030,29
Emergency medical technicians & paramedics,292041,29
Emergency medical technicians & paramedics,292041,29
Health practitioner support technologists & technicians,292050,29
Health practitioner support technologists & technicians,292050,29
Licensed practical & licensed vocational nurses,292061,29
Licensed practical & licensed vocational nurses,292061,29
Medical records & health information technicians,292071,29
Medical records & health information technicians,292071,29
"Opticians, dispensing",292081,29
"Opticians, dispensing",292081,29
Miscellaneous health technologists & technicians,292090,29
Miscellaneous health technologists & technicians,292090,29
Other healthcare practitioners & technical Occupations,299000,29
Other healthcare practitioners & technical Occupations,299000,29
"Nursing, psychiatric, & home health aides",311010,31
"Nursing, psychiatric, & home health aides",311010,31
Occupational therapy assistants & aides,312010,31
Occupational therapy assistants & aides,312010,31
Physical therapist assistants & aides,312020,31
Physical therapist assistants & aides,312020,31
Massage therapists,319011,31
Massage therapists,319011,31
Dental assistants,319091,31
Dental assistants,319091,31
Medical assistants,319092,31
Medical assistants,319092,31
Medical transcriptionists,319094,31
Medical transcriptionists,319094,31
Pharmacy aides,319095,31
Pharmacy aides,319095,31
Veterinary assistants & laboratory animal caretakers,319096,31
Veterinary assistants & laboratory animal caretakers,319096,31
Phlebotomists,319097,31
Phlebotomists,319097,31
Firstline supervisors of correctional officers,331011,33
Firstline supervisors of correctional officers,331011,33
Firstline supervisors of police & detectives,331012,33
Firstline supervisors of police & detectives,331012,33
Firstline supervisors of fire fighting & prevention workers,331021,33
Firstline supervisors of fire fighting & prevention workers,331021,33
"Firstline supervisors of protective service workers, all other",331099,33
"Firstline supervisors of protective service workers, all other",331099,33
Firefighters,332011,33
Firefighters,332011,33
Fire inspectors,332020,33
Fire inspectors,332020,33
"Bailiffs, correctional officers, & jailers",333010,33
"Bailiffs, correctional officers, & jailers",333010,33
Detectives & criminal investigators,333021,33
Detectives & criminal investigators,333021,33
Police officers,333050,33
Police officers,333050,33
Animal control workers,339011,33
Animal control workers,339011,33
Private detectives & investigators,339021,33
Private detectives & investigators,339021,33
Security guards & gaming surveillance officers,339030,33
Security guards & gaming surveillance officers,339030,33
Crossing guards,339091,33
Crossing guards,339091,33
Transportation security screeners,339093,33
Transportation security screeners,339093,33
Chefs & head cooks,351011,35
Chefs & head cooks,351011,35
Firstline supervisors of food preparation & serving workers,351012,35
Firstline supervisors of food preparation & serving workers,351012,35
Cooks,352010,35
Cooks,352010,35
Food preparation workers,352021,35
Food preparation workers,352021,35
Bartenders,353011,35
Bartenders,353011,35
"Combined food preparation & serving workers, including fast food",353021,35
"Combined food preparation & serving workers, including fast food",353021,35
"Counter attendants, cafeteria, food concession, & coffee shop",353022,35
"Counter attendants, cafeteria, food concession, & coffee shop",353022,35
Waiters & waitresses,353031,35
Waiters & waitresses,353031,35
"Food servers, nonrestaurant",353041,35
"Food servers, nonrestaurant",353041,35
Dishwashers,359021,35
Dishwashers,359021,35
"Hosts & hostesses, restaurant, lounge, & coffee shop",359031,35
"Hosts & hostesses, restaurant, lounge, & coffee shop",359031,35
Firstline supervisors of housekeeping & janitorial workers,371011,37
Firstline supervisors of housekeeping & janitorial workers,371011,37
"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",371012,37
"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",371012,37
Maids & housekeeping cleaners,372012,37
Maids & housekeeping cleaners,372012,37
Pest control workers,372021,37
Pest control workers,372021,37
Grounds maintenance workers,373010,37
Grounds maintenance workers,373010,37
Firstline supervisors of gaming workers,391010,39
Firstline supervisors of gaming workers,391010,39
Firstline supervisors of personal service workers,391021,39
Firstline supervisors of personal service workers,391021,39
Animal trainers,392011,39
Animal trainers,392011,39
Nonfarm animal caretakers,392021,39
Nonfarm animal caretakers,392021,39
Gaming services workers,393010,39
Gaming services workers,393010,39
Motion picture projectionists,393021,39
Motion picture projectionists,393021,39
"Ushers, lobby attendants, & ticket takers",393031,39
"Ushers, lobby attendants, & ticket takers",393031,39
Miscellaneous entertainment attendants & related workers,393090,39
Miscellaneous entertainment attendants & related workers,393090,39
"Morticians, undertakers, & funeral directors",394031,39
"Morticians, undertakers, & funeral directors",394031,39
Barbers,395011,39
Barbers,395011,39
"Hairdressers, hairstylists, & cosmetologists",395012,39
"Hairdressers, hairstylists, & cosmetologists",395012,39
Miscellaneous personal appearance workers,395090,39
Miscellaneous personal appearance workers,395090,39
"Baggage porters, bellhops, & concierges",396010,39
"Baggage porters, bellhops, & concierges",396010,39
Tour & travel guides,397010,39
Tour & travel guides,397010,39
Childcare workers,399011,39
Childcare workers,399011,39
Personal care aides,399021,39
Personal care aides,399021,39
Recreation & fitness workers,399030,39
Recreation & fitness workers,399030,39
Residential advisors,399041,39
Residential advisors,399041,39
"Personal care & service workers, all other ",399099,39
"Personal care & service workers, all other ",399099,39
Firstline supervisors of retail sales workers,411011,41
Firstline supervisors of retail sales workers,411011,41
Firstline supervisors of nonretail sales workers,411012,41
Firstline supervisors of nonretail sales workers,411012,41
Cashiers,412010,41
Cashiers,412010,41
Counter & rental clerks,412021,41
Counter & rental clerks,412021,41
Parts salespersons,412022,41
Parts salespersons,412022,41
Retail salespersons,412031,41
Retail salespersons,412031,41
Advertising sales agents,413011,41
Advertising sales agents,413011,41
Insurance sales agents,413021,41
Insurance sales agents,413021,41
"Securities, commodities, & financial services sales agents",413031,41
"Securities, commodities, & financial services sales agents",413031,41
Travel agents,413041,41
Travel agents,413041,41
"Sales representatives, services, all other",413099,41
"Sales representatives, services, all other",413099,41
"Sales representatives, wholesale & manufacturing",414010,41
"Sales representatives, wholesale & manufacturing",414010,41
"Models, demonstrators, & product promoters",419010,41
"Models, demonstrators, & product promoters",419010,41
Real estate brokers & sales agents,419020,41
Real estate brokers & sales agents,419020,41
Sales engineers,419031,41
Sales engineers,419031,41
Telemarketers,419041,41
Telemarketers,419041,41
"Doortodoor sales workers, news & street vendors, & related workers",419091,41
"Doortodoor sales workers, news & street vendors, & related workers",419091,41
Other Sales Workers,419099,41
Other Sales Workers,419099,41
Firstline supervisors of office & administrative support workers,431011,43
Firstline supervisors of office & administrative support workers,431011,43
"Switchboard operators, including answering service",432011,43
"Switchboard operators, including answering service",432011,43
Telephone operators,432021,43
Telephone operators,432021,43
"Communications equipment operators, all other",432099,43
"Communications equipment operators, all other",432099,43
Bill & account collectors,433011,43
Bill & account collectors,433011,43
Billing & posting clerks,433021,43
Billing & posting clerks,433021,43
"Bookkeeping, accounting, & auditing clerks",433031,43
"Bookkeeping, accounting, & auditing clerks",433031,43
Gaming cage workers,433041,43
Gaming cage workers,433041,43
Payroll & timekeeping clerks,433051,43
Payroll & timekeeping clerks,433051,43
Procurement clerks,433061,43
Procurement clerks,433061,43
Tellers,433071,43
Tellers,433071,43
Other financial clerks,433099,43
Other financial clerks,433099,43
Brokerage clerks,434011,43
Brokerage clerks,434011,43
"Court, municipal, & license clerks",434031,43
"Court, municipal, & license clerks",434031,43
"Credit authorizers, checkers, & clerks",434041,43
"Credit authorizers, checkers, & clerks",434041,43
Customer service representatives,434051,43
Customer service representatives,434051,43
"Eligibility interviewers, government programs",434061,43
"Eligibility interviewers, government programs",434061,43
File clerks,434071,43
File clerks,434071,43
"Hotel, motel, & resort desk clerks",434081,43
"Hotel, motel, & resort desk clerks",434081,43
"Interviewers, except eligibility & loan",434111,43
"Interviewers, except eligibility & loan",434111,43
"Library assistants, clerical",434121,43
"Library assistants, clerical",434121,43
Loan interviewers & clerks,434131,43
Loan interviewers & clerks,434131,43
New accounts clerks,434141,43
New accounts clerks,434141,43
"Human resources assistants, except payroll & timekeeping",434161,43
"Human resources assistants, except payroll & timekeeping",434161,43
Receptionists & information clerks,434171,43
Receptionists & information clerks,434171,43
Reservation & transportation ticket agents & travel clerks,434181,43
Reservation & transportation ticket agents & travel clerks,434181,43
"Information & record clerks, all other",434199,43
"Information & record clerks, all other",434199,43
Cargo & freight agents,435011,43
Cargo & freight agents,435011,43
Couriers & messengers,435021,43
Couriers & messengers,435021,43
Dispatchers,435030,43
Dispatchers,435030,43
"Meter readers, utilities",435041,43
"Meter readers, utilities",435041,43
Postal service clerks,435051,43
Postal service clerks,435051,43
Postal service mail carriers,435052,43
Postal service mail carriers,435052,43
"Postal service mail sorters, processors, & processing machine operators",435053,43
"Postal service mail sorters, processors, & processing machine operators",435053,43
"Production, planning, & expediting clerks",435061,43
"Production, planning, & expediting clerks",435061,43
"Shipping, receiving, & traffic clerks",435071,43
"Shipping, receiving, & traffic clerks",435071,43
Stock clerks & order fillers,435081,43
Stock clerks & order fillers,435081,43
"Weighers, measurers, checkers, & samplers, recordkeeping",435111,43
"Weighers, measurers, checkers, & samplers, recordkeeping",435111,43
Secretaries & administrative assistants,436010,43
Secretaries & administrative assistants,436010,43
Computer operators,439011,43
Computer operators,439011,43
Data entry keyers,439021,43
Data entry keyers,439021,43
Word processors & typists,439022,43
Word processors & typists,439022,43
Insurance claims & policy processing clerks,439041,43
Insurance claims & policy processing clerks,439041,43
"Mail clerks & mail machine operators, except postal service",439051,43
"Mail clerks & mail machine operators, except postal service",439051,43
"Office clerks, general",439061,43
"Office clerks, general",439061,43
"Office machine operators, except computer",439071,43
"Office machine operators, except computer",439071,43
Proofreaders & copy markers,439081,43
Proofreaders & copy markers,439081,43
Statistical assistants,439111,43
Statistical assistants,439111,43
"Firstline supervisors of farming, fishing, & forestry workers",451011,45
"Firstline supervisors of farming, fishing, & forestry workers",451011,45
Agricultural inspectors,452011,45
Agricultural inspectors,452011,45
"Graders & sorters, agricultural products",452041,45
"Graders & sorters, agricultural products",452041,45
Fishing & hunting workers,453000,45
Fishing & hunting workers,453000,45
Forest & conservation workers,454011,45
Forest & conservation workers,454011,45
Logging workers,454020,45
Logging workers,454020,45
Firstline supervisors of construction trades & extraction workers,471011,47
Firstline supervisors of construction trades & extraction workers,471011,47
Boilermakers,472011,47
Boilermakers,472011,47
Carpenters,472031,47
Carpenters,472031,47
"Carpet, floor, & tile installers & finishers",472040,47
"Carpet, floor, & tile installers & finishers",472040,47
"Cement masons, concrete finishers, & terrazzo workers",472050,47
"Cement masons, concrete finishers, & terrazzo workers",472050,47
Construction laborers,472061,47
Construction laborers,472061,47
"Paving, surfacing, & tamping equipment operators",472071,47
"Paving, surfacing, & tamping equipment operators",472071,47
"Drywall installers, ceiling tile installers, & tapers",472080,47
"Drywall installers, ceiling tile installers, & tapers",472080,47
Electricians,472111,47
Electricians,472111,47
Glaziers,472121,47
Glaziers,472121,47
Insulation workers,472130,47
Insulation workers,472130,47
Painters & paperhangers,472140,47
Painters & paperhangers,472140,47
"Pipelayers, plumbers, pipefitters, & steamfitters",472150,47
"Pipelayers, plumbers, pipefitters, & steamfitters",472150,47
Plasterers & stucco masons,472161,47
Plasterers & stucco masons,472161,47
Roofers,472181,47
Roofers,472181,47
Sheet metal workers,472211,47
Sheet metal workers,472211,47
Structural iron & steel workers,472221,47
Structural iron & steel workers,472221,47
"Helpers, construction trades",473010,47
"Helpers, construction trades",473010,47
Construction & building inspectors,474011,47
Construction & building inspectors,474011,47
Elevator installers & repairers,474021,47
Elevator installers & repairers,474021,47
Fence erectors,474031,47
Fence erectors,474031,47
Hazardous materials removal workers,474041,47
Hazardous materials removal workers,474041,47
Highway maintenance workers,474051,47
Highway maintenance workers,474051,47
Railtrack laying & maintenance equipment operators,474061,47
Railtrack laying & maintenance equipment operators,474061,47
"Earth drillers, except oil & gas",475021,47
"Earth drillers, except oil & gas",475021,47
"Explosives workers, ordnance handling experts, & blasters",475031,47
"Explosives workers, ordnance handling experts, & blasters",475031,47
Mining machine operators,475040,47
Mining machine operators,475040,47
"Firstline supervisors of mechanics, installers, & repairers",491011,49
"Firstline supervisors of mechanics, installers, & repairers",491011,49
"Computer, automated teller, & office machine repairers",492011,49
"Computer, automated teller, & office machine repairers",492011,49
Radio & telecommunications equipment installers & repairers,492020,49
Radio & telecommunications equipment installers & repairers,492020,49
Avionics technicians,492091,49
Avionics technicians,492091,49
"Electric motor, power tool, & related repairers",492092,49
"Electric motor, power tool, & related repairers",492092,49
"Electronic equipment installers & repairers, motor vehicles",492096,49
"Electronic equipment installers & repairers, motor vehicles",492096,49
Electronic home entertainment equipment installers & repairers,492097,49
Electronic home entertainment equipment installers & repairers,492097,49
Security & fire alarm systems installers,492098,49
Security & fire alarm systems installers,492098,49
Aircraft mechanics & service technicians,493011,49
Aircraft mechanics & service technicians,493011,49
Automotive body & related repairers,493021,49
Automotive body & related repairers,493021,49
Automotive glass installers & repairers,493022,49
Automotive glass installers & repairers,493022,49
Automotive service technicians & mechanics,493023,49
Automotive service technicians & mechanics,493023,49
Bus & truck mechanics & diesel engine specialists,493031,49
Bus & truck mechanics & diesel engine specialists,493031,49
Heavy vehicle & mobile equipment service technicians & mechanics,493040,49
Heavy vehicle & mobile equipment service technicians & mechanics,493040,49
Small engine mechanics,493050,49
Small engine mechanics,493050,49
"Miscellaneous vehicle & mobile equipment mechanics, installers, & repairers",493090,49
"Miscellaneous vehicle & mobile equipment mechanics, installers, & repairers",493090,49
Control & valve installers & repairers,499010,49
Control & valve installers & repairers,499010,49
"Heating, air conditioning, & refrigeration mechanics & installers",499021,49
"Heating, air conditioning, & refrigeration mechanics & installers",499021,49
Home appliance repairers,499031,49
Home appliance repairers,499031,49
"Maintenance workers, machinery",499043,49
"Maintenance workers, machinery",499043,49
Millwrights,499044,49
Millwrights,499044,49
Electrical powerline installers & repairers,499051,49
Electrical powerline installers & repairers,499051,49
Telecommunications line installers & repairers,499052,49
Telecommunications line installers & repairers,499052,49
Precision instrument & equipment repairers,499060,49
Precision instrument & equipment repairers,499060,49
"Maintenance & repair workers, general",499071,49
"Maintenance & repair workers, general",499071,49
"Coin, vending, & amusement machine servicers & repairers",499091,49
"Coin, vending, & amusement machine servicers & repairers",499091,49
Locksmiths & safe repairers,499094,49
Locksmiths & safe repairers,499094,49
Riggers,499096,49
Riggers,499096,49
"Helpersinstallation, maintenance, & repair workers ",499098,49
"Helpersinstallation, maintenance, & repair workers ",499098,49
Firstline supervisors of production & operating workers,511011,51
Firstline supervisors of production & operating workers,511011,51
"Aircraft structure, surfaces, rigging, & systems assemblers",512011,51
"Aircraft structure, surfaces, rigging, & systems assemblers",512011,51
"Electrical, electronics, & electromechanical assemblers",512020,51
"Electrical, electronics, & electromechanical assemblers",512020,51
Engine & other machine assemblers,512031,51
Engine & other machine assemblers,512031,51
Structural metal fabricators & fitters,512041,51
Structural metal fabricators & fitters,512041,51
Miscellaneous assemblers & fabricators,512090,51
Miscellaneous assemblers & fabricators,512090,51
Bakers,513011,51
Bakers,513011,51
"Butchers & other meat, poultry, & fish processing workers",513020,51
"Butchers & other meat, poultry, & fish processing workers",513020,51
"Food & tobacco roasting, baking, & drying machine operators & tenders",513091,51
"Food & tobacco roasting, baking, & drying machine operators & tenders",513091,51
Food batchmakers,513092,51
Food batchmakers,513092,51
Food cooking machine operators & tenders,513093,51
Food cooking machine operators & tenders,513093,51
"Food processing workers, all other",513099,51
"Food processing workers, all other",513099,51
Computer control programmers & operators,514010,51
Computer control programmers & operators,514010,51
"Extruding & drawing machine setters, operators, & tenders, metal & plastic",514021,51
"Extruding & drawing machine setters, operators, & tenders, metal & plastic",514021,51
"Forging machine setters, operators, & tenders, metal & plastic",514022,51
"Forging machine setters, operators, & tenders, metal & plastic",514022,51
"Rolling machine setters, operators, & tenders, metal & plastic",514023,51
"Rolling machine setters, operators, & tenders, metal & plastic",514023,51
"Machine tool cutting setters, operators, & tenders, metal & plastic",514030,51
"Machine tool cutting setters, operators, & tenders, metal & plastic",514030,51
Machinists,514041,51
Machinists,514041,51
"Metal furnace operators, tenders, pourers, & casters",514050,51
"Metal furnace operators, tenders, pourers, & casters",514050,51
Tool & die makers,514111,51
Tool & die makers,514111,51
"Welding, soldering, & brazing workers",514120,51
"Welding, soldering, & brazing workers",514120,51
Prepress technicians & workers,515111,51
Prepress technicians & workers,515111,51
Printing press operators,515112,51
Printing press operators,515112,51
Print binding & finishing workers,515113,51
Print binding & finishing workers,515113,51
Laundry & drycleaning workers,516011,51
Laundry & drycleaning workers,516011,51
"Pressers, textile, garment, & related materials",516021,51
"Pressers, textile, garment, & related materials",516021,51
Sewing machine operators,516031,51
Sewing machine operators,516031,51
Shoe & leather workers,516040,51
Shoe & leather workers,516040,51
"Tailors, dressmakers, & sewers",516050,51
"Tailors, dressmakers, & sewers",516050,51
