GeoFips,GeoName,2017
0,United States *,19485394
1000,Alabama,211196.5
2000,Alaska,51479
4000,Arizona,326445.8
5000,Arkansas,122703.5
6000,California,2797600.9
8000,Colorado,345233.1
9000,Connecticut,264509.9
10000,Delaware,72461.3
11000,District of Columbia,135768.3
12000,Florida,976385.5
13000,Georgia,563607.6
15000,Hawaii,88447.9
16000,Idaho,72294.2
17000,Illinois,822539.6
18000,Indiana,352272.7
19000,Iowa,183929.8
20000,Kansas,159108.2
21000,Kentucky,202174.9
22000,Louisiana,235960.2
23000,Maine,61702.8
24000,Maryland,399537.9
25000,Massachusetts,542978.8
26000,Michigan,508904.8
27000,Minnesota,350178.9
28000,Mississippi,109375.4
29000,Missouri,303763
30000,Montana,47079
31000,Nebraska,119587.5
32000,Nevada,158302.1
33000,New Hampshire,81649.7
34000,New Jersey,602069
35000,New Mexico,94210.7
36000,New York,1606601.3
37000,North Carolina,540496.6
38000,North Dakota,52526.6
39000,Ohio,645746.9
40000,Oklahoma,188631.7
41000,Oregon,227154.5
42000,Pennsylvania,756268.5
44000,Rhode Island,59305.7
45000,South Carolina,221689.6
46000,South Dakota,49813.1
47000,Tennessee,349569.2
48000,Texas,1645135.9
49000,Utah,164917
50000,Vermont,32545.2
51000,Virginia,510586.1
53000,Washington,524322.7
54000,West Virginia,74047.4
55000,Wisconsin,321373.3
56000,Wyoming,38036.8
91000,New England,1042692.2
92000,Mideast,3572706.4
93000,Great Lakes,2650837.3
94000,Plains,1218907.1
95000,Southeast,4117792.7
96000,Southwest,2254424.1
97000,Rocky Mountain,667560.1
98000,Far West,3847307.1
