,Name,Population_x,Comp_Math_Stat,Engineering,Other Science,Business,Education,TotalComputer&Engineer,PercentComputer&Engineer,Population_y,LessHighSchool,HighSchool,SomeCollege,BachelorsOrHigher,Unemployment_Population,Unemployment_LessHS,Unemployment_HighSchool,Unemployment_SomeColl,Unemployment_BachelorHigher,PercentBachOrHigher,GeoFIPS,GDP2010
19,Maine,273030.0,7467.0,14630.0,26409.0,38021.0,26409.0,22097.0,8.093249826026444,704999.0,42798.0,214699.0,218626.0,228876.0,3.5,9.7,5.4,3.2,1.5,32.46472690032184,23000.0,51710.7
20,Maryland,1518219.0,93152.0,126955.0,126939.0,248414.0,126939.0,220107.0,14.49771080456772,3265018.0,298141.0,759748.0,865790.0,1341339.0,4.2,8.6,6.5,4.4,2.4,41.08213185960996,24000.0,316451.5
21,Massachusetts,1886223.0,87998.0,154975.0,146915.0,332465.0,146915.0,242973.0,12.881456752462462,3680749.0,283105.0,838017.0,867689.0,1691938.0,3.8,7.6,5.4,3.8,2.6,45.96722025870278,25000.0,409762.5
22,Michigan,1803762.0,66433.0,171934.0,182577.0,370069.0,182577.0,238367.0,13.214991778294477,5154197.0,411712.0,1392693.0,1770926.0,1578866.0,4.8,12.5,6.5,4.8,2.3,30.632628128106088,26000.0,386625.9
23,Minnesota,1254298.0,58383.0,78939.0,112158.0,230048.0,112158.0,137322.0,10.94811599795264,2919512.0,181168.0,644115.0,980363.0,1113866.0,3.0,8.0,3.9,3.1,1.8,38.152472056973906,27000.0,271821.2
24,Mississippi,396740.0,14159.0,17697.0,43786.0,82302.0,43786.0,31856.0,8.029439935474114,1493622.0,203065.0,446663.0,507936.0,335958.0,5.7,13.2,7.1,4.8,2.8,22.492839553782684,28000.0,95208.4
25,Missouri,1108742.0,46025.0,62454.0,110381.0,229659.0,110381.0,108479.0,9.783971383784506,3140006.0,286505.0,904243.0,974667.0,974591.0,3.7,10.6,5.3,3.1,1.9,31.037870628272685,29000.0,258544.1
26,Montana,213728.0,4345.0,10907.0,22652.0,32571.0,22652.0,15252.0,7.136173079802366,533450.0,34857.0,145195.0,179331.0,174067.0,3.2,8.8,4.0,2.9,2.1,32.630424594619925,30000.0,38054.6
27,Nebraska,370509.0,12702.0,13822.0,39685.0,77844.0,39685.0,26524.0,7.158800460987452,964349.0,80782.0,224382.0,335005.0,324180.0,2.4,8.7,2.8,2.3,1.1,33.61646043081913,31000.0,91812.8
28,Nevada,417824.0,14634.0,27570.0,42228.0,92032.0,42228.0,42204.0,10.100903729800107,1604501.0,213605.0,463219.0,533348.0,394329.0,5.0,6.5,6.1,4.9,3.1,24.576425941772552,32000.0,123598.1
29,New Hampshire,321618.0,17114.0,27158.0,24814.0,61574.0,24814.0,44272.0,13.765398702808923,721684.0,42562.0,192699.0,208832.0,277591.0,2.9,4.1,4.5,3.0,1.9,38.464341734055346,33000.0,64151.6
30,New Jersey,2263361.0,123222.0,186868.0,175867.0,479502.0,175867.0,310090.0,13.700421629603055,4818066.0,403152.0,1210870.0,1160004.0,2044040.0,4.5,8.2,5.9,4.9,3.0,42.4244914868331,34000.0,495149.0
31,New Mexico,366649.0,13703.0,29863.0,31279.0,52293.0,31279.0,43566.0,11.882208870063739,1041546.0,136636.0,281520.0,353350.0,270040.0,5.8,9.5,7.7,5.4,3.5,25.92684336553546,35000.0,83989.2
32,New York,4589235.0,195505.0,249195.0,389618.0,821991.0,389618.0,444700.0,9.690068170403128,10660083.0,1247033.0,2635741.0,2698071.0,4079238.0,4.6,8.4,5.8,4.8,2.9,38.26647503588856,36000.0,1213946.9
33,North Carolina,1813573.0,78575.0,118958.0,163095.0,353012.0,163095.0,197533.0,10.891924394551529,5361187.0,584146.0,1296509.0,1713940.0,1766592.0,4.1,7.7,5.5,4.3,2.3,32.9515086864159,37000.0,415206.4
34,North Dakota,133423.0,3673.0,4717.0,16731.0,24144.0,16731.0,8390.0,6.288271137659923,383235.0,18941.0,94233.0,141800.0,128261.0,2.6,7.4,2.8,3.4,1.1,33.467976567902205,38000.0,35426.3
35,Ohio,2048434.0,73563.0,151958.0,206026.0,415242.0,206026.0,225521.0,11.009434524129164,6042269.0,512461.0,1888065.0,1847435.0,1794308.0,4.2,11.8,5.5,4.1,1.9,29.69593045261639,39000.0,497208.2
36,Oklahoma,605838.0,22160.0,31731.0,58852.0,130544.0,58852.0,53891.0,8.895282237165711,1985282.0,223733.0,603752.0,640499.0,517298.0,4.5,7.3,6.1,4.7,1.9,26.056650893928417,40000.0,152911.4
37,Oregon,824925.0,28030.0,52010.0,65156.0,115116.0,65156.0,80040.0,9.702700245476862,2192327.0,201598.0,486962.0,746932.0,756835.0,4.2,5.5,5.8,4.9,2.5,34.52199420980538,41000.0,163827.6
38,Pennsylvania,2524218.0,109787.0,171214.0,244941.0,469243.0,244941.0,281001.0,11.132200150700138,6684299.0,522536.0,2170495.0,1721861.0,2269407.0,4.2,9.5,5.7,4.3,2.3,33.95130888070686,42000.0,599312.8
39,Rhode Island,234038.0,10810.0,16345.0,22988.0,39021.0,22988.0,27155.0,11.602816636614568,560397.0,54515.0,163307.0,146178.0,196397.0,4.8,5.3,7.1,5.1,2.7,35.046047712603745,44000.0,49571.8
40,South Carolina,808083.0,25744.0,51311.0,77472.0,176129.0,77472.0,77055.0,9.53553038487383,2578034.0,293537.0,750009.0,806288.0,728200.0,4.8,10.1,5.7,4.9,2.5,28.24633034319951,45000.0,163856.8
41,South Dakota,153808.0,4536.0,8441.0,18256.0,26337.0,18256.0,12977.0,8.437142411318007,432673.0,31290.0,126620.0,149074.0,125689.0,2.7,9.4,3.1,2.6,1.4,29.049420694150086,46000.0,37484.4
42,Tennessee,1058819.0,34417.0,64247.0,103900.0,230679.0,103900.0,98664.0,9.31830652831126,3518053.0,369486.0,1110524.0,1029111.0,1008932.0,4.0,8.8,5.2,3.9,1.9,28.678703817139766,47000.0,255935.8
43,Texas,4403125.0,203748.0,381830.0,366149.0,984088.0,366149.0,585578.0,13.29914549325763,14683854.0,2257283.0,3647642.0,4343199.0,4435730.0,4.2,5.6,5.0,4.5,2.7,30.208213729174915,48000.0,1237196.8
44,Utah,509046.0,22668.0,32197.0,45923.0,91218.0,45923.0,54865.0,10.778004345383325,1491840.0,116612.0,325181.0,524968.0,525079.0,2.7,5.2,3.4,2.4,2.0,35.196736915486916,49000.0,117960.5
45,Vermont,160975.0,4234.0,8079.0,13775.0,15841.0,13775.0,12313.0,7.649013822022053,322117.0,20775.0,93276.0,83481.0,124585.0,3.0,9.0,3.6,2.2,2.3,38.676940366388614,50000.0,27108.4
46,Virginia,1998058.0,118540.0,173403.0,143625.0,354737.0,143625.0,291943.0,14.611337608818161,4507617.0,393232.0,1046344.0,1242356.0,1825685.0,3.6,6.8,5.1,3.9,2.3,40.502221018334076,51000.0,422902.0
47,Washington,1534380.0,78847.0,131865.0,132977.0,238423.0,132977.0,210712.0,13.73271288728998,3984209.0,335603.0,854281.0,1347205.0,1447120.0,4.0,7.7,5.7,3.9,2.6,36.32138775852371,53000.0,365551.9
48,West Virginia,247633.0,7546.0,13243.0,27070.0,45097.0,27070.0,20789.0,8.3950846615758,928778.0,97219.0,376959.0,255919.0,198681.0,5.3,13.1,6.6,5.0,2.0,21.39165656378596,54000.0,65274.1
49,Wisconsin,1107538.0,37862.0,66117.0,118166.0,206407.0,118166.0,103979.0,9.388300898027877,3002047.0,199190.0,836948.0,1000968.0,964941.0,2.8,6.1,4.0,2.7,1.6,32.142767918023935,55000.0,254354.1
50,Wyoming,98472.0,3195.0,7868.0,10240.0,12666.0,10240.0,11063.0,11.23466569177025,297263.0,20465.0,86331.0,108100.0,82367.0,4.2,11.3,6.1,3.0,2.5,27.708460185088622,56000.0,37401.2
