,Name,Population_x,Comp_Math_Stat,Engineering,Other Science,Business,Education,TotalComputer&Engineer,PercentComputer&Engineer,Population_y,LessHighSchool,HighSchool,SomeCollege,BachelorsOrHigher,Unemployment_Population,Unemployment_LessHS,Unemployment_HighSchool,Unemployment_SomeColl,Unemployment_BachelorHigher,PercentBachOrHigher,GeoFIPS,GDP2010
0,Alabama,751842.0,30605.0,61078.0,74651.0,167620.0,74651.0,91683.0,12.194450429744547,2506391.0,295017.0,756553.0,787593.0,667228.0,4.8,12.5,5.9,4.5,2.1,26.62106590711505,1000.0,174753.0
1,Alaska,138810.0,3928.0,11719.0,14260.0,19182.0,14260.0,15647.0,11.272242633816006,398520.0,29760.0,112788.0,142661.0,113311.0,6.5,16.9,9.9,6.3,2.0,28.432951922111815,2000.0,52882.5
2,Arizona,1153768.0,49447.0,89971.0,106403.0,243402.0,106403.0,139418.0,12.083711803412818,3510512.0,458638.0,823793.0,1198014.0,1030067.0,4.7,7.1,6.6,4.8,2.5,29.34235803780189,4000.0,248210.0
3,Arkansas,403735.0,16358.0,19930.0,39732.0,82641.0,39732.0,36288.0,8.988073860329177,1511374.0,179314.0,504429.0,458668.0,368963.0,4.3,7.4,4.9,4.4,2.5,24.412422074218558,5000.0,101690.0
4,California,7773345.0,370561.0,742726.0,602622.0,1389308.0,602622.0,1113287.0,14.321852432897291,21174456.0,3348498.0,4412959.0,6161241.0,7251758.0,4.9,7.1,6.2,4.8,3.5,34.24767087286681,6000.0,1974614.5
5,Colorado,1330194.0,63148.0,106096.0,109261.0,252701.0,109261.0,169244.0,12.723256908390807,3048369.0,249874.0,630201.0,891392.0,1276902.0,3.5,4.6,4.8,3.9,2.5,41.88803914486731,8000.0,255140.5
6,Connecticut,930837.0,36295.0,68193.0,75139.0,179943.0,75139.0,104488.0,11.225166167653414,1892760.0,156123.0,488667.0,479439.0,768531.0,5.1,10.3,7.7,5.5,2.8,40.603721549483296,9000.0,237653.4
7,Delaware,180019.0,6730.0,13096.0,15938.0,35902.0,15938.0,19826.0,11.01328193135169,500469.0,43875.0,157889.0,136733.0,161972.0,4.6,8.8,6.2,4.4,2.7,32.364042528108634,10000.0,57447.4
8,District of Columbia,235900.0,9415.0,8864.0,7617.0,25275.0,7617.0,18279.0,7.748622297583722,410622.0,33494.0,66889.0,63381.0,246858.0,6.0,12.1,13.9,9.0,3.4,60.11806478951445,11000.0,106120.3
9,Florida,3603456.0,122024.0,292018.0,343604.0,841709.0,343604.0,414042.0,11.49013613597613,10804945.0,1143719.0,3042602.0,3366774.0,3251850.0,4.7,8.1,5.7,4.6,3.1,30.09594218202869,12000.0,737791.1
10,Georgia,1817166.0,87138.0,122578.0,164098.0,426954.0,164098.0,209716.0,11.540827860525676,5494176.0,643837.0,1486809.0,1593031.0,1770499.0,4.6,9.3,5.8,4.5,2.8,32.22501426965572,13000.0,416883.8
11,Hawaii,290739.0,8493.0,20110.0,24046.0,52850.0,24046.0,28603.0,9.838033425168279,743994.0,44953.0,207099.0,243947.0,247995.0,3.5,6.9,4.6,3.7,1.9,33.332930104275036,15000.0,68196.9
12,Idaho,261963.0,6995.0,18823.0,25448.0,44670.0,25448.0,25818.0,9.855590293285694,849194.0,74381.0,234039.0,310689.0,230085.0,2.9,6.3,3.3,2.4,2.3,27.0945155052909,16000.0,55170.7
13,Illinois,2809950.0,127830.0,193964.0,251289.0,587287.0,251289.0,321794.0,11.451947543550597,6759462.0,663881.0,1630129.0,1995913.0,2469539.0,5.0,9.1,7.4,5.1,2.8,36.534549643152076,17000.0,662637.8
14,Kentucky,652254.0,21894.0,31025.0,70948.0,122213.0,70948.0,52919.0,8.113250359522517,2309905.0,262998.0,738502.0,721718.0,586687.0,4.4,9.6,5.2,4.7,2.2,25.398750165050078,21000.0,164605.5
15,Indiana,1042952.0,36488.0,68256.0,119626.0,210874.0,119626.0,104744.0,10.043031702321871,3411431.0,355972.0,1039039.0,1048080.0,968340.0,3.8,9.3,4.8,3.6,1.8,28.385155672209113,18000.0,280120.7
16,Iowa,552847.0,19289.0,26679.0,53227.0,103916.0,53227.0,45968.0,8.314777868017734,1569285.0,111717.0,424164.0,546041.0,487363.0,2.8,5.9,4.2,2.7,1.3,31.05637280672408,19000.0,141482.0
17,Kansas,597155.0,20034.0,33671.0,57625.0,125348.0,57625.0,53705.0,8.993477405363766,1457077.0,126150.0,343715.0,476306.0,510906.0,3.0,6.6,4.0,3.3,1.5,35.06376121509021,20000.0,127744.8
18,Louisiana,672611.0,19459.0,41857.0,78322.0,127294.0,78322.0,61316.0,9.116116150345444,2424166.0,332242.0,801413.0,694333.0,596178.0,5.4,13.1,6.8,4.7,2.2,24.593117798038584,22000.0,225677.0
