Date,Index
2000-01-01,100.0
2000-02-01,100.48036
2000-03-01,102.23654
2000-04-01,103.45586
2000-05-01,104.78048
2000-06-01,105.27944
2000-07-01,105.81626
2000-08-01,105.8772
2000-09-01,106.10128
2000-10-01,106.08324
2000-11-01,106.33236
2000-12-01,106.73248999999998
2001-01-01,106.69901000000002
2001-02-01,106.71778
2001-03-01,107.40836000000002
2001-04-01,108.97132
2001-05-01,109.75823
2001-06-01,110.55632
2001-07-01,110.83636
2001-08-01,111.23191
2001-09-01,111.71659
2001-10-01,111.93572
2001-11-01,111.97487
2001-12-01,111.58173
2002-01-01,111.79443
2002-02-01,112.06778
2002-03-01,112.74016
2002-04-01,113.39799
2002-05-01,114.17695
2002-06-01,114.84187
2002-07-01,115.27949
2002-08-01,115.49057
2002-09-01,115.62189
2002-10-01,115.88018
2002-11-01,115.86801
2002-12-01,116.18009
2003-01-01,115.79591
2003-02-01,116.26887
2003-03-01,117.03797
2003-04-01,118.23314
2003-05-01,119.23233
2003-06-01,120.14585
2003-07-01,120.83713
2003-08-01,121.87849
2003-09-01,122.41872
2003-10-01,123.43363
2003-11-01,123.52643
2003-12-01,124.38231
2004-01-01,124.4173
2004-02-01,125.21771
2004-03-01,126.32701000000002
2004-04-01,128.2277
2004-05-01,130.14507
2004-06-01,131.94361
2004-07-01,133.26728
2004-08-01,134.21496000000002
2004-09-01,135.22423999999998
2004-10-01,136.07669
2004-11-01,137.37635
2004-12-01,138.60609
2005-01-01,140.18447
2005-02-01,141.31422
2005-03-01,143.70247
2005-04-01,146.21159
2005-05-01,148.96908
2005-06-01,151.78675
2005-07-01,154.11081
2005-08-01,156.61166
2005-09-01,158.99455
2005-10-01,161.06011
2005-11-01,162.72606000000005
2005-12-01,164.1977
2006-01-01,165.49081
2006-02-01,167.08682
2006-03-01,169.45548
2006-04-01,172.28387
2006-05-01,174.83588999999995
2006-06-01,177.80726
2006-07-01,179.95718
2006-08-01,181.84147
2006-09-01,183.07564
2006-10-01,183.78729
2006-11-01,183.87933
2006-12-01,183.97305
2007-01-01,183.91548
2007-02-01,184.84833
2007-03-01,186.44379
2007-04-01,188.88916
2007-05-01,190.67912
2007-06-01,191.91898
2007-07-01,192.30052
2007-08-01,192.14286
2007-09-01,191.65999
2007-10-01,189.86086
2007-11-01,187.13599
2007-12-01,184.87906
2008-01-01,181.61614
2008-02-01,179.84646999999995
2008-03-01,178.29175
2008-04-01,179.56658000000004
2008-05-01,178.67346
2008-06-01,178.27778999999995
2008-07-01,176.51459
2008-08-01,175.23543
2008-09-01,172.81588
2008-10-01,170.44894
2008-11-01,166.23251000000005
2008-12-01,160.19453
2009-01-01,154.3807
2009-02-01,152.13181
2009-03-01,149.04664
2009-04-01,149.37675
2009-05-01,148.95705
2009-06-01,149.52933000000004
2009-07-01,149.44232
2009-08-01,149.5408
2009-09-01,148.93511999999996
2009-10-01,149.25642
2009-11-01,148.56454
2009-12-01,147.54447
2010-01-01,145.09198
2010-02-01,143.5633
2010-03-01,143.71581
2010-04-01,145.13879
2010-05-01,146.81804
2010-06-01,146.83092
2010-07-01,147.04277
2010-08-01,145.93444
2010-09-01,145.06573999999995
2010-10-01,143.13456000000005
2010-11-01,141.57211999999996
2010-12-01,138.69828
2011-01-01,135.40993
2011-02-01,132.85197
2011-03-01,132.97489
2011-04-01,135.13671000000002
2011-05-01,136.55573
2011-06-01,137.46151
2011-07-01,137.56617
2011-08-01,137.09181999999998
2011-09-01,135.58793
2011-10-01,134.22153
2011-11-01,132.65035
2011-12-01,130.98613
2012-01-01,130.03226
2012-02-01,128.98724
2012-03-01,131.22543000000002
2012-04-01,133.83546
2012-05-01,137.37005
2012-06-01,139.8938
2012-07-01,141.77756000000005
2012-08-01,141.69242
2012-09-01,142.0927
2012-10-01,141.82232
2012-11-01,142.53375
2012-12-01,141.75343999999996
2013-01-01,141.29605
2013-02-01,140.97359
2013-03-01,145.19632
2013-04-01,149.05003
2013-05-01,153.74372
2013-06-01,156.46291000000005
2013-07-01,159.49774
2013-08-01,160.36319
2013-09-01,160.86754
2013-10-01,160.38837
2013-11-01,160.1687
2013-12-01,159.31602
2014-01-01,158.08962
2014-02-01,159.04558
2014-03-01,162.049743104772
2014-04-01,165.718663579881
2014-05-01,168.100898799591
2014-06-01,169.937193618398
2014-07-01,170.874078927609
2014-08-01,170.853487084214
2014-09-01,170.30862129291
2014-10-01,170.22398852612199
2014-11-01,169.663632866726
2014-12-01,169.749650040474
2015-01-01,168.83321135714502
2015-02-01,170.28123326988995
2015-03-01,174.124308268191
2015-04-01,178.03973063165
2015-05-01,180.54364844639
2015-06-01,182.42804898679
2015-07-01,183.19934760609797
2015-08-01,183.83366738563402
2015-09-01,184.25840924988398
2015-10-01,185.16457621443504
2015-11-01,185.962168884829
2015-12-01,186.265721893595
2016-01-01,186.488466196758
2016-02-01,188.529072375699
2016-03-01,193.02041771598599
2016-04-01,197.006851443479
2016-05-01,199.81825282101397
2016-06-01,202.54570879465803
2016-07-01,203.704225072763
2016-08-01,204.55499639655
2016-09-01,204.54550885234403
2016-10-01,204.80629046284
